Oct 14 2015 01: +0,4.954,1794
Oct 15 2015 01: +0,5.444,1289
Oct 16 2015 01: +0,5.189,1009
Oct 17 2015 01: +0,5.324,2359
Oct 18 2015 01: +0,5.11,1303
Oct 19 2015 01: +0,5.195,1227
Oct 20 2015 01: +0,5.106,1503
Oct 21 2015 01: +0,5.1,1398
Oct 22 2015 01: +0,5.074,1387
Oct 23 2015 01: +0,5.28,1452
Oct 24 2015 01: +0,5.08,1644
Oct 25 2015 01: +0,5.056,1633
Oct 26 2015 01: +0,5.054,1346
Oct 27 2015 01: +0,5.475,1789
Oct 28 2015 01: +0,4.979,1471
Oct 29 2015 01: +0,5.107,1514
Oct 30 2015 01: +0,5.045,1840
Oct 31 2015 01: +0,5.034,1969
Nov 01 2015 01: +0,5.01,2041
Nov 02 2015 01: +0,4.981,1609
Nov 03 2015 01: +0,5.199,2109
Nov 04 2015 01: +0,5.031,1446
Nov 05 2015 01: +0,5.117,1640
Nov 06 2015 01: +0,5.236,1934
Nov 07 2015 01: +0,4.983,2074
Nov 08 2015 01: +0,5.073,1709
Nov 09 2015 01: +0,5.132,1450
Nov 10 2015 01: +0,5.213,1429
Nov 11 2015 01: +0,5.188,1341
Nov 12 2015 01: +0,5.396,1731
Nov 13 2015 01: +0,5.366,1610
Nov 14 2015 01: +0,5.57,1746
Nov 15 2015 01: +0,5.179,1495
Nov 16 2015 01: +0,5.183,1512
Nov 17 2015 01: +0,5.2,1221
Nov 18 2015 01: +0,5.238,1009
Nov 19 2015 01: +0,5.292,1355
Nov 20 2015 01: +0,5.329,1029
Nov 21 2015 01: +0,5.519,1698
Nov 22 2015 01: +0,5.281,1544
Nov 23 2015 01: +0,5.567,1517
Nov 24 2015 01: +0,5.346,1186
Nov 25 2015 01: +0,5.228,2070
Nov 26 2015 01: +0,5.29,2394
Nov 27 2015 01: +0,5.334,1655
Nov 28 2015 01: +0,5.277,1941
Nov 29 2015 01: +0,5.307,1915
Nov 30 2015 01: +0,5.279,1756
Dec 01 2015 01: +0,5.243,1733
Dec 02 2015 01: +0,5.377,1468
Dec 03 2015 01: +0,5.47,1582
Dec 04 2015 01: +0,5.488,1524
